State         Abb.       Zip 
Michigan        MI      49728
Michigan        MI      48880
Michigan        MI      48633
Michigan        MI      49783
Michigan        MI      48005
Michigan        MI      49097
Michigan        MI      48115
Michigan        MI      49701
Michigan        MI      49322
Michigan        MI      49272
Michigan        MI      48239
Michigan        MI      48454
Michigan        MI      48238
Michigan        MI      48158
Michigan        MI      49709
Michigan        MI      49931
Michigan        MI      48850
Michigan        MI      48322
Michigan        MI      49651
Michigan        MI      49283
Michigan        MI      49441
Michigan        MI      48190
Michigan        MI      48601
Michigan        MI      48749
Michigan        MI      48813
Michigan        MI      49690
Michigan        MI      48211
Michigan        MI      48450
Michigan        MI      49508
Michigan        MI      49685
Michigan        MI      48701
Michigan        MI      48833
Michigan        MI      49238
Michigan        MI      48657
Michigan        MI      49050
Michigan        MI      48086
Michigan        MI      49421
Michigan        MI      49281
Michigan        MI      49317
New York        NY      12998
New York        NY      12584
New York        NY      11436
New York        NY      11692
New York        NY      13811
New York        NY      12845
New York        NY      12436
New York        NY      14166
New York        NY      10954
New York        NY      10102
New York        NY      10302
New York        NY      14722
New York        NY      12068
New York        NY      13368
New York        NY      13147
New York        NY      11970
New York        NY      12230
New York        NY      13832
New York        NY      13034
New York        NY      14231
New York        NY      13145
New York        NY      11802
New York        NY      12534
New York        NY      11374
New York        NY      11739
New York        NY      14212
New York        NY      14715
New York        NY      12585
New York        NY      12237
New York        NY      13643
New York        NY      11424
New York        NY      13110
New York        NY      12862
New York        NY      12527
New York        NY      11704
New York        NY      12856
New York        NY      13483
New York        NY      14606
New York        NY      10019
New York        NY      14213
New York        NY      13676
New York        NY      12495
New York        NY      11023
New York        NY      11357
New York        NY      13088
New York        NY      14754
New York        NY      13138
New York        NY      10032
New York        NY      12853
New York        NY      13343
New York        NY      14143
New York        NY      14892
New York        NY      13626
New York        NY      12996
New York        NY      12529
New York        NY      10312
New York        NY      13730
New York        NY      10121
New York        NY      13479
New York        NY      11431
New York        NY      14508
New York        NY      10276
New York        NY      13157
New York        NY      11754
New York        NY      11960
New York        NY      11550
New York        NY      12833
New York        NY      11968
New York        NY      11765
New York        NY      10924
New York        NY      12602
New York        NY      10469
New York        NY      12849
New York        NY      14857
New York        NY      10174
New York        NY      10280
New York        NY      12736
New York        NY      13669
New York        NY      14847
New York        NY      14083
New York        NY      13682
New York        NY      13342
New York        NY      10915
New York        NY      14129
New York        NY      12504
New York        NY      11952
New York        NY      12433
New York        NY      12261
New York        NY      12863
New York        NY      13488
New York        NY      13324
New York        NY      13859
New York        NY      12078
New York        NY      14060
New York        NY      11499
New York        NY      12811
New York        NY      12506
New York        NY      14433
New York        NY      10203
New York        NY      14228
Ohio            OH      45806
Ohio            OH      45213
Ohio            OH      43606
Ohio            OH      45750
Ohio            OH      43750
Ohio            OH      44253
Ohio            OH      45064
Ohio            OH      45862
Ohio            OH      45833
Ohio            OH      44811
Ohio            OH      44707
Ohio            OH      44906
Ohio            OH      44053
Ohio            OH      45225
Ohio            OH      44211
Ohio            OH      43906
Ohio            OH      44090
Ohio            OH      45432
Ohio            OH      45160
Ohio            OH      44003
Ohio            OH      44504
Ohio            OH      45316
Ohio            OH      43803
Ohio            OH      45263
Ohio            OH      45252
Ohio            OH      44102
Ohio            OH      45131
Ohio            OH      44067
Ohio            OH      45370
Ohio            OH      44809
Ohio            OH      43136
Ohio            OH      43117
Ohio            OH      43843
Ohio            OH      43713
Ohio            OH      44398
Ohio            OH      43518
Ohio            OH      44146
Ohio            OH      45712
Ohio            OH      43266
Ohio            OH      45663
Ohio            OH      45351
Ohio            OH      45413
Ohio            OH      43931
Ohio            OH      43343
Ohio            OH      43228
Ohio            OH      45050
Ohio            OH      45306
Ohio            OH      45338
Ohio            OH      43732
Ohio            OH      44061
Ohio            OH      44203
Ohio            OH      44697
Ohio            OH      45651
Ohio            OH      44706
Ohio            OH      44861
Ohio            OH      43901
Ohio            OH      45820
Ohio            OH      44234
Ohio            OH      45155
Ohio            OH      45268
Ohio            OH      43127
Ohio            OH      45679
Ohio            OH      45224
Ohio            OH      45404
Ohio            OH      45860
Ohio            OH      43109
Ohio            OH      45115
Ohio            OH      45220
Ohio            OH      45786
Ohio            OH      44328
Ohio            OH      43123
Ohio            OH      44127
Ohio            OH      45233
Ohio            OH      45813
Ohio            OH      45258
Ohio            OH      45347
Ohio            OH      45388
Ohio            OH      44255
Ohio            OH      43926
Ohio            OH      45851
Ohio            OH      45203
Ohio            OH      43357
Ohio            OH      43934
Ohio            OH      44491
Ohio            OH      45065
Ohio            OH      45782
Ohio            OH      45644
Ohio            OH      45247
Ohio            OH      44855
Ohio            OH      43916
Ohio            OH      43311
Ohio            OH      44693
Ohio            OH      43506
Ohio            OH      45693
Ohio            OH      45068
Ohio            OH      44144
Ohio            OH      44265
Ohio            OH      44425
Ohio            OH      43153
Ohio            OH      43125
Texas           TX      76825
Texas           TX      76870
Texas           TX      76246
Texas           TX      77381
Texas           TX      75266
Texas           TX      77443
Texas           TX      88566
Texas           TX      76101
Texas           TX      78007
Texas           TX      75479
Texas           TX      79096
Texas           TX      76640
Texas           TX      77496
Texas           TX      78661
Texas           TX      75853
Texas           TX      78071
Texas           TX      79772
Texas           TX      77983
Texas           TX      77222
Texas           TX      76878
Texas           TX      78230
Texas           TX      76634
Texas           TX      75631
Texas           TX      79714
Texas           TX      77090
Texas           TX      77259
Texas           TX      79908
Texas           TX      78204
Texas           TX      78014
Texas           TX      77049
Texas           TX      78040
Texas           TX      79105
Texas           TX      79529
Texas           TX      79502
Texas           TX      76513
Texas           TX      79109
Texas           TX      77209
Texas           TX      78001
Texas           TX      78152
Texas           TX      78960
Texas           TX      79229
Texas           TX      88556
Texas           TX      76205
Texas           TX      79960
Texas           TX      76534
Texas           TX      77904
Texas           TX      77870
Texas           TX      75115
Texas           TX      75201
Texas           TX      76019
Texas           TX      78570
Texas           TX      76884
Texas           TX      78834
Texas           TX      79911
Texas           TX      78931
Texas           TX      76485
Texas           TX      76949
Texas           TX      77481
Texas           TX      79830
Texas           TX      77457
Texas           TX      77483
Texas           TX      75104
Texas           TX      76869
Texas           TX      75382
Texas           TX      76401
Texas           TX      79907
Texas           TX      76097
Texas           TX      79601
Texas           TX      76459
Texas           TX      75252
Texas           TX      78594
Texas           TX      76372
Texas           TX      75762
Texas           TX      79540
Texas           TX      76623
Texas           TX      75373
Texas           TX      75080
Texas           TX      78067
Texas           TX      79343
Texas           TX      77341
Texas           TX      77473
Texas           TX      75048
Texas           TX      78059
Texas           TX      76118
Texas           TX      75063
Texas           TX      88518
Texas           TX      78860
Texas           TX      88584
Texas           TX      76380
Texas           TX      77383
Texas           TX      77630
Texas           TX      79024
Texas           TX      78416
Texas           TX      78217
Texas           TX      76558
Texas           TX      78841
Texas           TX      79185
Texas           TX      75221
Texas           TX      77413
Texas           TX      79519
